School,Win Percentage,Bowl Win Percentage,National Titles,Conference Titles,AP Poll Appearances,Heisman Winners,Consensus All-Americans,Simple Rating System (Avg Performance Score),Strength of Schedule,Overall Score
Colorado,0.565,0.4,1.0,26,19,1,30,3.87,1.41,8.187
Texas Christian,0.545,0.514,2.0,18,21,1,17,2.88,1.84,6.4221
BYU,0.582,0.438,1.0,23,19,1,14,-0.72,-3.12,5.840100000000001
West Virginia,0.593,0.41,0.0,15,20,0,12,3.95,0.49,5.1021
Oklahoma State,0.527,0.636,1.0,10,16,1,17,2.71,1.95,4.9838000000000005
Utah,0.597,0.68,0.0,26,11,0,10,2.37,-1.84,4.947900000000001
Arizona State,0.611,0.47,0.0,17,17,1,6,3.47,-1.27,4.402699999999999
Kansas State,0.449,0.417,0.0,10,14,0,14,-0.19,1.98,4.04185
Texas Tech,0.553,0.413,0.0,11,11,0,12,3.97,1.99,3.8705500000000006
Baylor,0.513,0.519,0.0,9,16,0,5,2.84,2.69,3.45695
Houston,0.554,0.45,0.0,4,15,1,9,3.17,1.09,3.2913
Kansas,0.454,0.462,0.0,9,7,0,11,0.85,2.48,3.0266
Cincinnati,0.513,0.421,0.0,16,8,0,3,-2.18,-2.34,2.6397500000000003
Arizona,0.522,0.475,0.0,6,7,0,4,1.27,0.66,1.97215
Iowa State,0.449,0.294,0.0,2,3,0,6,0.26,1.45,1.3194000000000001
UCF,0.578,0.429,0.0,6,5,0,1,0.01,-3.51,1.2049500000000002
